mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence
P03389,P03389|J6.2|Conus judaeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus judaeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03390,P03390|At6.8|Conus aristophanes|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus aristophanes,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03391,P03391|Co6.7|Conus coronatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus coronatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03392,P03392|Ml6.4|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03393,P03393|Tx8.1|Conus textile|Wild type|conotoxin|S superfamily||VIII|nucleic acid level,Conus textile,Wild type,conotoxin,S superfamily,,VIII,nucleic acid level
P03394,P03394|Ac8.1|Conus achatinus|Wild type|conotoxin|S superfamily||VIII|nucleic acid level,Conus achatinus,Wild type,conotoxin,S superfamily,,VIII,nucleic acid level
P03395,P03395|Ca8b|Conus caracteristicus|Wild type|conotoxin|S superfamily||VIII|nucleic acid level,Conus caracteristicus,Wild type,conotoxin,S superfamily,,VIII,nucleic acid level
P03396,P03396|Ca8a|Conus caracteristicus|Wild type|conotoxin|S superfamily||VIII|protein level,Conus caracteristicus,Wild type,conotoxin,S superfamily,,VIII,protein level
P03397,P03397|Ca8c|Conus caracteristicus|Wild type|conotoxin|S superfamily||VIII|nucleic acid level,Conus caracteristicus,Wild type,conotoxin,S superfamily,,VIII,nucleic acid level
P03398,P03398|PuSG1.1|Conus pulicarius|Wild type|conotoxin|||I|nucleic acid level,Conus pulicarius,Wild type,conotoxin,,,I,nucleic acid level
P03399,P03399|PuSG1.2|Conus pulicarius|Wild type|conotoxin|||I|nucleic acid level,Conus pulicarius,Wild type,conotoxin,,,I,nucleic acid level
P03532,P03532|Conantokin-P|Conus purpurascens|Wild type|conantokin|B1 superfamily|||nucleic acid level,Conus purpurascens,Wild type,conantokin,B1 superfamily,,,nucleic acid level
P03534,P03534|Conantokin-E1|Conus ermineus|Wild type|conantokin|B1 superfamily|||nucleic acid level,Conus ermineus,Wild type,conantokin,B1 superfamily,,,nucleic acid level
P03550,P03550|Im6.7|Conus imperialis|Wild type|conotoxin|M superfamily||VI/VII|Unknown,Conus imperialis,Wild type,conotoxin,M superfamily,,VI/VII,Unknown
P03535,P03535|Conantokin-Pr3|Conus parius|Wild type|conantokin||||protein level,Conus parius,Wild type,conantokin,,,,protein level
P03536,P03536|Conantokin-Pr2|Conus parius|Wild type|conantokin||||protein level,Conus parius,Wild type,conantokin,,,,protein level
P03537,P03537|Conantokin-Pr1|Conus parius|Wild type|conantokin||||protein level,Conus parius,Wild type,conantokin,,,,protein level
P03538,P03538|Conorfamide-Sr2|Conus spurius|Wild type|conorfamide||||protein level,Conus spurius,Wild type,conorfamide,,,,protein level
P03540,P03540|S6.11|Conus striatus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P03542,P03542|S6.10|Conus striatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03544,P03544|S6.6|Conus striatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03546,P03546|S6.7|Conus striatus|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03547,P03547|S4.3|Conus striatus|Wild type|conotoxin|||IV|nucleic acid level,Conus striatus,Wild type,conotoxin,,,IV,nucleic acid level
P03549,P03549|Contryphan-S|Conus striatus|Wild type|contryphan|O2 superfamily|||protein level,Conus striatus,Wild type,contryphan,O2 superfamily,,,protein level
P03551,P03551|Bromocontryphan-S|Conus striatus|Wild type|contryphan||||protein level,Conus striatus,Wild type,contryphan,,,,protein level
P03552,P03552|Bromoheptapeptide Im|Conus imperialis|Wild type|unclassified||||protein level,Conus imperialis,Wild type,unclassified,,,,protein level
P03556,P03556|Conopressin-T|Conus tulipa|Wild type|conopressin||||protein level,Conus tulipa,Wild type,conopressin,,,,protein level
P03584,P03584|SxIIIA|Conus striolatus|Wild type|conotoxin|M superfamily|mu conotoxin|III|nucleic acid level,Conus striolatus,Wild type,conotoxin,M superfamily,mu conotoxin,III,nucleic acid level
P03585,P03585|SxIIIB|Conus striolatus|Wild type|conotoxin|M superfamily|mu conotoxin|III|nucleic acid level,Conus striolatus,Wild type,conotoxin,M superfamily,mu conotoxin,III,nucleic acid level
P03586,P03586|Cp20.1 precursor|Conus capitaneus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus capitaneus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03587,P03587|Cp20.1|Conus capitaneus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus capitaneus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03588,P03588|Cp20.2 precursor|Conus capitaneus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus capitaneus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03589,P03589|Cp20.2|Conus capitaneus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus capitaneus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03590,P03590|Cp20.3 precursor|Conus capitaneus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus capitaneus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03591,P03591|Cp20.3|Conus capitaneus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus capitaneus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03592,P03592|Cp20.4 precursor|Conus capitaneus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus capitaneus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03593,P03593|Cp20.4|Conus capitaneus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus capitaneus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03594,P03594|Cp20.5 precursor|Conus capitaneus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus capitaneus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03595,P03595|Cp20.5|Conus capitaneus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus capitaneus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03596,P03596|Ms20.1 precursor|Conus mustelinus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus mustelinus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03597,P03597|Ms20.1|Conus mustelinus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus mustelinus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03598,P03598|Ms20.2 precursor|Conus mustelinus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus mustelinus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03599,P03599|Ms20.2|Conus mustelinus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus mustelinus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03600,P03600|Ms20.3 precursor|Conus mustelinus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus mustelinus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03601,P03601|Ms20.3|Conus mustelinus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus mustelinus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03602,P03602|Ms20.4 precursor|Conus mustelinus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus mustelinus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03603,P03603|Ms20.4|Conus mustelinus|Wild type|conotoxin|D superfamily||XX|protein level,Conus mustelinus,Wild type,conotoxin,D superfamily,,XX,protein level
P03604,P03604|Ms20.5 precursor|Conus mustelinus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus mustelinus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03605,P03605|Ms20.5|Conus mustelinus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus mustelinus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03606,P03606|Mi20.1 precursor|Conus miles|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus miles,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03607,P03607|Mi20.1|Conus miles|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus miles,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03608,P03608|Mi20.2 precursor|Conus miles|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus miles,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03609,P03609|Mi20.2|Conus miles|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus miles,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03610,P03610|Mi20.3 precursor|Conus miles|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus miles,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03611,P03611|Mi20.3|Conus miles|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus miles,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03612,P03612|Mi20.4 precursor|Conus miles|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus miles,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03613,P03613|Mi20.4|Conus miles|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus miles,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03614,P03614|Rt20.1 precursor|Conus rattus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus rattus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03615,P03615|Rt20.1|Conus rattus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus rattus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03616,P03616|Rt20.2 precursor|Conus rattus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus rattus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03617,P03617|Rt20.2|Conus rattus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus rattus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03618,P03618|Vt20.1 precursor|Conus vitulinus|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vitulinus,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03619,P03619|Vt20.1|Conus vitulinus|Wild type|conotoxin|D superfamily||XX|nucleic acid level,Conus vitulinus,Wild type,conotoxin,D superfamily,,XX,nucleic acid level
P03622,P03622|Conomap-Vt|Conus vitulinus|Wild type|conomap||||protein level,Conus vitulinus,Wild type,conomap,,,,protein level
P03623,P03623|BuIIIA|Conus bullatus|Wild type|conotoxin|M superfamily||III|nucleic acid level,Conus bullatus,Wild type,conotoxin,M superfamily,,III,nucleic acid level
P03625,P03625|BuIIIB|Conus bullatus|Wild type|conotoxin|M superfamily||III|nucleic acid level,Conus bullatus,Wild type,conotoxin,M superfamily,,III,nucleic acid level
P03628,P03628|BuIIIC|Conus bullatus|Wild type|conotoxin|M superfamily||III|nucleic acid level,Conus bullatus,Wild type,conotoxin,M superfamily,,III,nucleic acid level
P03629,P03629|De7b|Conus delessertii|Wild type|conotoxin|||VI/VII|protein level,Conus delessertii,Wild type,conotoxin,,,VI/VII,protein level
P03630,P03630|VxXXA precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P03638,P03638|Mn1.4|Conus monachus|Wild type|conotoxin|||I|nucleic acid level,Conus monachus,Wild type,conotoxin,,,I,nucleic acid level
P03640,P03640|MgJr112|Conus magus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus magus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P03641,P03641|Conantokin-Su|Conus sulcatus|Wild type|conantokin|B1 superfamily|||nucleic acid level,Conus sulcatus,Wild type,conantokin,B1 superfamily,,,nucleic acid level
P03643,P03643|Sr5.4|Conus spurius|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus spurius,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03644,P03644|Sr5.5|Conus spurius|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus spurius,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03645,P03645|Sr5.7|Conus spurius|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus spurius,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03646,P03646|Sr5.6/Sr5.8|Conus spurius|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus spurius,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03686,P03686|Conantokin-Su precursor|Conus sulcatus|Precursor|conantokin|B1 superfamily|||nucleic acid level,Conus sulcatus,Precursor,conantokin,B1 superfamily,,,nucleic acid level
P03704,P03704|Ac6.4|Conus achatinus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus achatinus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03706,P03706|Ac6.3|Conus achatinus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus achatinus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03708,P03708|Ac6.2|Conus achatinus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus achatinus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03710,P03710|Ac6.1|Conus achatinus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus achatinus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03712,P03712|Vn1A|Conus ventricosus|Wild type|conotoxin|||I|protein level,Conus ventricosus,Wild type,conotoxin,,,I,protein level
P03713,P03713|Br1.4|Conus brunneus|Wild type|conotoxin|||I|nucleic acid level,Conus brunneus,Wild type,conotoxin,,,I,nucleic acid level
P03718,P03718|Lp6.3|Conus leopardus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus leopardus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03720,P03720|Lp6.4|Conus leopardus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus leopardus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03722,P03722|Lp6.2|Conus leopardus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus leopardus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03725,P03725|Lp1.11|Conus leopardus|Wild type|conotoxin|||I|nucleic acid level,Conus leopardus,Wild type,conotoxin,,,I,nucleic acid level
P03726,P03726|conopressin-Tx|Conus textile|Wild type|conopressin||||protein level,Conus textile,Wild type,conopressin,,,,protein level
P03729,P03729|Ml3-g (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03730,P03730|Ml3-f3 (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03732,P03732|Ml3-e (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03733,P03733|Ml3-d (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03734,P03734|Ml3-c (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03736,P03736|Ml3-a (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03737,P03737|Ml2-h (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03738,P03738|Ml2-g (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03739,P03739|Ml2-f|Conus miliaris|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03741,P03741|Ml2-e (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03742,P03742|Ml2-d|Conus miliaris|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03745,P03745|Ml2-b (partial)|Conus miliaris|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03746,P03746|Ml2-a|Conus miliaris|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03748,P03748|Tx3g|Conus textile|Wild type|conotoxin|||III|protein level,Conus textile,Wild type,conotoxin,,,III,protein level
P03749,P03749|Tx3e|Conus textile|Wild type|conotoxin|||III|protein level,Conus textile,Wild type,conotoxin,,,III,protein level
P03750,P03750|Tx3d|Conus textile|Wild type|conotoxin|||III|protein level,Conus textile,Wild type,conotoxin,,,III,protein level
P03752,P03752|SrIA|Conus spurius|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus spurius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P03753,P03753|Tx1c|Conus textile|Wild type|conotoxin|||I|protein level,Conus textile,Wild type,conotoxin,,,I,protein level
P03754,P03754|Tx10c|Conus textile|Wild type|conotoxin|||X|protein level,Conus textile,Wild type,conotoxin,,,X,protein level
P03755,P03755|Tx10b|Conus textile|Wild type|conotoxin|||X|protein level,Conus textile,Wild type,conotoxin,,,X,protein level
P03756,P03756|Tx5c|Conus textile|Wild type|conotoxin|||V|protein level,Conus textile,Wild type,conotoxin,,,V,protein level
P03757,P03757|Tx5b|Conus textile|Wild type|conotoxin|T superfamily||V|protein level,Conus textile,Wild type,conotoxin,T superfamily,,V,protein level
P03758,P03758|Tx5d|Conus textile|Wild type|conotoxin|||V|protein level,Conus textile,Wild type,conotoxin,,,V,protein level
P03775,P03775|Sp6.1|Conus sponsalis|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus sponsalis,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03776,P03776|Sp6.2|Conus sponsalis|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus sponsalis,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03777,P03777|Sp6.3|Conus sponsalis|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus sponsalis,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03778,P03778|Nu6.2|Conus nux|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus nux,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03779,P03779|Nu6.1|Conus nux|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus nux,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03780,P03780|Sp6.4|Conus sponsalis|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus sponsalis,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03783,P03783|Ml3-f|Conus miliaris|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03784,P03784|Ml2-c|Conus miliaris|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03785,P03785|Pu14.3|Conus pulicarius|Wild type|conotoxin|A superfamily||XIV|nucleic acid level,Conus pulicarius,Wild type,conotoxin,A superfamily,,XIV,nucleic acid level
P03786,P03786|Pu14.2|Conus pulicarius|Wild type|conotoxin|A superfamily||XIV|nucleic acid level,Conus pulicarius,Wild type,conotoxin,A superfamily,,XIV,nucleic acid level
P03787,P03787|Pu14a|Conus pulicarius|Wild type|conotoxin|A superfamily||XIV|nucleic acid level,Conus pulicarius,Wild type,conotoxin,A superfamily,,XIV,nucleic acid level
P03788,P03788|Ac6.5|Conus achatinus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus achatinus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
